ANY_OTHER,N_CARS,MAE_THB,RMSE_THB,MEAN_SIGNED_ERROR_THB,MEDIAN_ABS_ERROR_THB,NEGATIVE_PREDICTION_COUNT,ACTUAL_AVG_THB,PREDICTED_AVG_THB
True,27530,452830.524915,1198257.058429,-1732.552897,205993.661095,1821,851118.305921,852850.858818
False,7318,179594.242872,374220.324072,6517.789007,133806.504387,586,454380.486882,447862.697875
