listing_id,brand,model,sub_model,model_year,mileage,ACTUAL_PRICE,PREDICTED_PRICE,ERROR_THB,ABS_ERROR,APE_PCT,PRICE_BAND,brand_MODEL_CATEGORY,brand_IS_OTHER,model_MODEL_CATEGORY,model_IS_OTHER,sub_model_MODEL_CATEGORY,sub_model_IS_OTHER,ANY_OTHER
12902602,Lamborghini,Urus,Performante,2022,12500,18900000.000000,5022144.561874,13877855.438126,13877855.438126,73.427807,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18185196,Ferrari,Roma,,2022,12500,19900000.000000,6090790.819601,13809209.180399,13809209.180399,69.393011,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19289665,Lamborghini,HURACAN,STO,2022,7500,21900000.000000,8118991.139714,13781008.860286,13781008.860286,62.926981,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18782277,Maserati,MC20,,2022,7500,18900000.000000,5626642.912056,13273357.087944,13273357.087944,70.229403,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
13841220,Ferrari,458,Italia,2012,2500,19900000.000000,6681299.281785,13218700.718215,13218700.718215,66.425632,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19151253,Lamborghini,Urus,,2019,32500,17900000.000000,4777007.769149,13122992.230851,13122992.230851,73.312806,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18755417,Porsche,911,Turbo,1992,27500,17000000.000000,4030294.031333,12969705.968667,12969705.968667,76.292388,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
16972647,Rolls-Royce,GHOST,LWB,2018,2500,19900000.000000,6974812.749820,12925187.250180,12925187.250180,64.950690,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
12285122,Lamborghini,HURACAN,EVO Spyder,2019,14000,19900000.000000,7015225.543193,12884774.456807,12884774.456807,64.747610,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
14571909,Porsche,911,GT3,2018,2500,18900000.000000,6226806.278228,12673193.721772,12673193.721772,67.053935,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18261857,Porsche,911,GT3,2022,1600,19900000.000000,7229094.696758,12670905.303242,12670905.303242,63.672891,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
19336023,Porsche,911,Carrera GTS,2023,2500,18000000.000000,5462478.101182,12537521.898818,12537521.898818,69.652899,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
16375300,Ferrari,458,Italia,2011,22500,18500000.000000,6020996.027940,12479003.972060,12479003.972060,67.454076,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
12943258,Porsche,718,Cayman GT4 RS,2023,500,19900000.000000,7542269.012278,12357730.987722,12357730.987722,62.099151,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
19133414,MCLAREN,720S,,2020,17500,18300000.000000,6156269.015434,12143730.984566,12143730.984566,66.359186,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19287506,Lamborghini,MURCIELAGO,LP 640,2006,27500,19900000.000000,7800859.109652,12099140.890348,12099140.890348,60.799703,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18806821,Lamborghini,HURACAN,Tecnica,2024,7500,19900000.000000,7904074.630774,11995925.369226,11995925.369226,60.281032,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19294863,MCLAREN,720S,,2019,7500,17800000.000000,6058744.892722,11741255.107278,11741255.107278,65.962107,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18931721,MCLAREN,720S,,2020,97500,17500000.000000,6056621.566786,11443378.433214,11443378.433214,65.390734,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19068146,MCLAREN,720S,,2020,7500,17500000.000000,6135295.253208,11364704.746792,11364704.746792,64.941170,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19331247,Lamborghini,HURACAN,Tecnica,2025,3001,18990000.000000,7786305.179410,11203694.820590,11203694.820590,58.997866,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
11665544,Ferrari,488,GTB,2018,17500,17000000.000000,5848418.328631,11151581.671369,11151581.671369,65.597539,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19283642,Porsche,911,GT3 RS,2018,17402,17900000.000000,6776642.120807,11123357.879193,11123357.879193,62.141664,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18931700,Lamborghini,HURACAN,Tecnica,2024,82500,18990000.000000,7874220.495261,11115779.504739,11115779.504739,58.534911,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
16090628,Nissan,GT-R,T-Spec,2022,2500,15900000.000000,4787434.685950,11112565.314050,11112565.314050,69.890348,>=3M,Nissan,False,__OTHER__,True,__OTHER__,True,True
19189982,Lamborghini,HURACAN,Tecnica,2024,7500,18990000.000000,7904074.630774,11085925.369226,11085925.369226,58.377701,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19035457,Lamborghini,HURACAN,Tecnica,2024,7500,18990000.000000,7939781.900612,11050218.099388,11050218.099388,58.189669,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19331159,MCLAREN,720S,,2020,19013,17000000.000000,6102707.944799,10897292.055201,10897292.055201,64.101718,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19003129,Lamborghini,HURACAN,Tecnica,2024,800,18990000.000000,8145510.896589,10844489.103411,10844489.103411,57.106314,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18948547,Lamborghini,HURACAN,Performante,2019,17500,18000000.000000,7299856.577527,10700143.422473,10700143.422473,59.445241,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
14199977,Land Rover,RANGE ROVER,Autobiography P530,2023,17500,15999000.000000,5393815.369301,10605184.630699,10605184.630699,66.286547,>=3M,Land Rover,False,__OTHER__,True,__OTHER__,True,True
18817551,Maserati,MC20,,2023,2500,15900000.000000,5402804.218702,10497195.781298,10497195.781298,66.020099,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19159885,MCLAREN,720S,,2020,7500,16900000.000000,6440055.067405,10459944.932595,10459944.932595,61.893165,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
10845434,Mercedes-Benz,SL55,4MATIC+,2022,2500,14790000.000000,4464324.088871,10325675.911129,10325675.911129,69.815253,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
13356501,Land Rover,RANGE ROVER,P440e SE Plus,2024,2500,13990000.000000,4081659.468193,9908340.531807,9908340.531807,70.824450,>=3M,Land Rover,False,__OTHER__,True,__OTHER__,True,True
19299824,Porsche,911,GT3 RS,2016,12500,15990000.000000,6082499.426047,9907500.573953,9907500.573953,61.960604,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
17783232,Lamborghini,HURACAN,EVO Spyder,2019,22500,16900000.000000,7007795.250586,9892204.749414,9892204.749414,58.533756,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18288017,MCLAREN,GT,,2020,12500,16000000.000000,6130924.492851,9869075.507149,9869075.507149,61.681722,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19309576,MCLAREN,Artura,,2023,2500,15490000.000000,5662726.386571,9827273.613429,9827273.613429,63.442696,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
16513448,Mercedes-Benz,G63,AMG,2020,27500,12990000.000000,3189434.456978,9800565.543022,9800565.543022,75.447002,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
18713889,Bentley,Continental GT,,2023,2500,15900000.000000,6139840.731156,9760159.268844,9760159.268844,61.384649,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19299299,Porsche,911,GT3 RS,2016,22500,15790000.000000,6052359.646342,9737640.353658,9737640.353658,61.669667,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
15198263,Mercedes-Benz,GT R,AMG,2018,12500,14900000.000000,5190135.684033,9709864.315967,9709864.315967,65.166875,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
18615596,Ferrari,488,GTB,2017,12500,15600000.000000,5909131.985778,9690868.014222,9690868.014222,62.120949,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
18034111,Mercedes-Benz,G450,d,2025,2500,12200000.000000,2607996.402808,9592003.597192,9592003.597192,78.622980,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
15322884,Lamborghini,HURACAN,EVO,2022,7500,17000000.000000,7446214.095605,9553785.904395,9553785.904395,56.198741,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
14770241,Ferrari,Portofino,,2018,12500,14800000.000000,5284174.080969,9515825.919031,9515825.919031,64.296121,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
19109190,Lamborghini,HURACAN,EVO,2021,17500,16900000.000000,7467429.406583,9432570.593417,9432570.593417,55.814027,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19163558,Ferrari,Portofino,,2020,17500,14900000.000000,5563931.914563,9336068.085437,9336068.085437,62.658175,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18547710,Porsche,911,GT3 RS,2016,7500,15500000.000000,6183893.076605,9316106.923395,9316106.923395,60.103916,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
19314323,Mercedes-Benz,G63,AMG,2023,32500,12590000.000000,3414714.778079,9175285.221921,9175285.221921,72.877563,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
19331062,MCLAREN,Artura,,2023,17500,14590000.000000,5436889.375397,9153110.624603,9153110.624603,62.735508,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
18060978,Aston Martin,Vanquish,,2018,42500,16900000.000000,7787973.674749,9112026.325251,9112026.325251,53.917316,>=3M,__OTHER__,True,__OTHER__,True,__MISSING__,False,True
17292795,Bentley,Flying Spur,Hybrid,2023,28080,12900000.000000,3798278.213430,9101721.786570,9101721.786570,70.555983,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
17868944,Ferrari,488,GTB,2016,22500,14900000.000000,5823840.104578,9076159.895422,9076159.895422,60.913825,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
13853622,Lamborghini,HURACAN,EVO,2022,7500,16500000.000000,7446214.095605,9053785.904395,9053785.904395,54.871430,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
17873104,Porsche,911,Targa 4S,2024,12500,14000000.000000,5003485.579168,8996514.420832,8996514.420832,64.260817,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
17875267,Porsche,911,Targa 4S,2024,10000,14000000.000000,5005670.959347,8994329.040653,8994329.040653,64.245207,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
15549467,Porsche,911,GT3,2018,27500,15500000.000000,6567942.756091,8932057.243909,8932057.243909,57.626176,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
18942721,Mercedes-Benz,G450,d,2025,7500,11500000.000000,2659726.990490,8840273.009510,8840273.009510,76.871939,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
19072376,Lamborghini,HURACAN,EVO Spyder,2020,22500,15900000.000000,7084345.611072,8815654.388928,8815654.388928,55.444367,>=3M,__OTHER__,True,__OTHER__,True,__OTHER__,True,True
19271963,Mercedes-Benz,Maybach EQS680,,2025,12500,9890000.000000,1082141.853131,8807858.146869,8807858.146869,89.058222,>=3M,Mercedes-Benz,False,__OTHER__,True,__MISSING__,False,True
14969779,Porsche,911,Targa 4,2021,37500,13900000.000000,5118833.845060,8781166.154940,8781166.154940,63.173857,>=3M,Porsche,False,__OTHER__,True,__OTHER__,True,True
14915856,Mercedes-Benz,G63,AMG,2019,72500,11790000.000000,3047161.188182,8742838.811818,8742838.811818,74.154697,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
