SOURCE_FEATURE,IS_OTHER,N_CARS,MAE_THB,RMSE_THB,MEAN_SIGNED_ERROR_THB,MEDIAN_ABS_ERROR_THB,NEGATIVE_PREDICTION_COUNT,ACTUAL_AVG_THB,PREDICTED_AVG_THB
brand,False,34799,308091.334908,990012.083089,-0.000175,134036.159490,1524,767638.390787,767638.390962
brand,True,49,1033941.797675,1413529.183545,-0.000150,653850.419038,8,885612.326531,885612.326681
model,False,30008,197610.864187,534603.055919,-0.000178,118498.361614,1252,636352.752166,636352.752344
model,True,4840,1000418.739472,2301137.807041,-0.000157,420238.449276,280,1582803.714463,1582803.714620
sub_model,True,23667,331975.434682,989799.097434,-0.000168,146257.582451,824,838235.083450,838235.083618
sub_model,False,11181,260716.474281,992712.215172,-0.000190,112433.673037,708,618722.265003,618722.265193
