listing_id,brand,model,sub_model,model_year,mileage,ACTUAL_PRICE,PREDICTED_PRICE,ERROR_THB,ABS_ERROR,APE_PCT,PRICE_BAND,brand_MODEL_CATEGORY,brand_IS_OTHER,model_MODEL_CATEGORY,model_IS_OTHER,sub_model_MODEL_CATEGORY,sub_model_IS_OTHER,ANY_OTHER
19036938,MCLAREN,765LT,,2021,2500,38900000.000000,10845756.233622,28054243.766378,28054243.766378,72.118879,>=3M,MCLAREN,False,__OTHER__,True,__MISSING__,False,True
18846628,MCLAREN,765LT,,2021,7500,36900000.000000,10852322.353021,26047677.646979,26047677.646979,70.589912,>=3M,MCLAREN,False,__OTHER__,True,__MISSING__,False,True
14025630,MCLAREN,620R,,2020,2500,34900000.000000,10696485.947143,24203514.052857,24203514.052857,69.351043,>=3M,MCLAREN,False,__OTHER__,True,__MISSING__,False,True
19328225,Mitsubishi,ATTRAGE,GLX,2018,96500,24500000.000000,306320.845919,24193679.154081,24193679.154081,98.749711,>=3M,Mitsubishi,False,ATTRAGE,False,GLX,False,False
19135261,Porsche,911,Speedster,2019,2500,29900000.000000,6808572.257110,23091427.742890,23091427.742890,77.228855,>=3M,Porsche,False,911,False,__OTHER__,True,True
19309386,Rolls-Royce,Spectre,Black Badge,2026,2500,32900000.000000,10059114.744362,22840885.255638,22840885.255638,69.425183,>=3M,Rolls-Royce,False,__OTHER__,True,__OTHER__,True,True
18741441,Ferrari,SF90 Stradale,,2021,10198,29900000.000000,9948097.957254,19951902.042746,19951902.042746,66.728769,>=3M,Ferrari,False,__OTHER__,True,__MISSING__,False,True
15339365,Porsche,911,Dakar,2024,50,26500000.000000,7501247.583878,18998752.416122,18998752.416122,71.693405,>=3M,Porsche,False,911,False,__OTHER__,True,True
18720937,Ferrari,SF90 Stradale,,2023,7500,28900000.000000,10223797.777294,18676202.222706,18676202.222706,64.623537,>=3M,Ferrari,False,__OTHER__,True,__MISSING__,False,True
19287725,MCLAREN,620R,,2020,7500,28900000.000000,10693222.456719,18206777.543281,18206777.543281,62.999230,>=3M,MCLAREN,False,__OTHER__,True,__MISSING__,False,True
19302276,Rolls-Royce,GHOST,Black Badge,2025,2500,28950000.000000,11118157.917788,17831842.082212,17831842.082212,61.595309,>=3M,Rolls-Royce,False,__OTHER__,True,__OTHER__,True,True
18818301,Ferrari,812,Superfast,2018,22500,27900000.000000,10704094.408766,17195905.591234,17195905.591234,61.634070,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
11890096,Honda,NSX,,2017,4700,18900000.000000,2590229.703827,16309770.296173,16309770.296173,86.295081,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
11902990,Honda,NSX,,2017,2500,18900000.000000,2591665.639613,16308334.360387,16308334.360387,86.287483,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
13169752,Mercedes-Benz,GT R,AMG,2022,7500,19900000.000000,3693395.537688,16206604.462312,16206604.462312,81.440223,>=3M,Mercedes-Benz,False,__OTHER__,True,__OTHER__,True,True
18675758,Lamborghini,AVENTADOR,S,2020,7500,27900000.000000,11830464.908155,16069535.091845,16069535.091845,57.596900,>=3M,Lamborghini,False,__OTHER__,True,S,False,True
11892099,Honda,NSX,,2017,4800,18500000.000000,2590164.434018,15909835.565982,15909835.565982,85.999111,>=3M,Honda,False,__OTHER__,True,__MISSING__,False,True
18815917,Ferrari,296,GTS,2023,7500,23900000.000000,9588236.454578,14311763.545422,14311763.545422,59.881856,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
19287250,Porsche,911,GT3 Touring,2023,2500,21900000.000000,7613015.718746,14286984.281254,14286984.281254,65.237371,>=3M,Porsche,False,911,False,__OTHER__,True,True
18693068,Ferrari,296,GTS,2023,2500,23900000.000000,9740154.362923,14159845.637077,14159845.637077,59.246216,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
19283523,Ferrari,296,GTB,2023,2500,23900000.000000,9740154.362923,14159845.637077,14159845.637077,59.246216,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
18616484,Ferrari,296,GTS,2024,7500,23900000.000000,9804097.495467,14095902.504533,14095902.504533,58.978672,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
18855143,Ferrari,296,GTS,2024,7500,23900000.000000,9804097.495467,14095902.504533,14095902.504533,58.978672,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
17751572,Lamborghini,HURACAN,STO,2022,7500,25900000.000000,11825301.040097,14074698.959903,14074698.959903,54.342467,>=3M,Lamborghini,False,__OTHER__,True,__OTHER__,True,True
19090540,Lamborghini,HURACAN,Sterrato,2024,2500,24900000.000000,11317311.243424,13582688.756576,13582688.756576,54.548951,>=3M,Lamborghini,False,__OTHER__,True,__OTHER__,True,True
19128168,Ferrari,F8,Spider,2021,27500,22900000.000000,9459707.142179,13440292.857821,13440292.857821,58.691235,>=3M,Ferrari,False,__OTHER__,True,__OTHER__,True,True
12943258,Porsche,718,Cayman GT4 RS,2023,500,19900000.000000,6580057.840418,13319942.159582,13319942.159582,66.934383,>=3M,Porsche,False,718,False,__OTHER__,True,True
19114651,Lamborghini,HURACAN,STO,2022,2500,24900000.000000,11818734.920699,13081265.079301,13081265.079301,52.535201,>=3M,Lamborghini,False,__OTHER__,True,__OTHER__,True,True
18782277,Maserati,MC20,,2022,7500,18900000.000000,5899118.424206,13000881.575794,13000881.575794,68.787733,>=3M,Maserati,False,__OTHER__,True,__MISSING__,False,True
