SOURCE_ROW_NUMBER,listing_id,brand,model,sub_model,model_year,raw_price,title,source_url,price,STATUS,REASON,GROUP_USED,GROUP_SIZE,GROUP_MEDIAN_PRICE,GROUP_LOG_MAD,PRICE_TO_MEDIAN_RATIO,MODIFIED_Z_SCORE
26956,19331036,Toyota,Corolla Altis,G,2016,"฿299,000",2016 Toyota Corolla Altis 1.6 (ปี 14-18) G Sedan,https://www.one2car.com/en/for-sale/toyota-corolla-altis-g-bangkok-metropolitan-pattanakarn-rama-ix/19331036?auc=true,299000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,20,306895.74777112814,0.06343336043939551,0.9742722151464388,-0.17580527317935912
26957,19210001,Mitsubishi,Strada,GLX Super,2002,"฿165,000",2002 Mitsubishi Strada 2.8 Mega Cab GLX Super Pickup,https://www.one2car.com/en/for-sale/mitsubishi-strada-glx-super-bangkok-metropolitan-ratchadaphisek-huai-khwang-lat-phrao-phetchaburi/19210001,165000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26958,19331029,MG,ZS,EV X,2023,"฿429,000",2023 MG ZS 0.0 (ปี 17-25) EV X SUV,https://www.one2car.com/en/for-sale/mg-zs-ev-x-bangkok-metropolitan-pattanakarn-rama-ix/19331029?auc=true,429000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,29,398999.99999999965,0.07249550203815502,1.0751879699248137,0.4889821612473556
26959,19331021,Toyota,Yaris Ativ,S,2019,"฿329,000",2019 Toyota Yaris Ativ 1.2 (ปี 17-22) S Sedan,https://www.one2car.com/en/for-sale/toyota-yaris-ativ-s-bangkok-metropolitan-pattanakarn-rama-ix/19331021?auc=true,329000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,19,329000.00000000023,0.05901417143705423,1.0,0.0
26960,19331019,Neta,Neta V,,2023,"฿279,000",2023 Neta Neta V 0.0 (ปี 22-27) Hatchback,https://www.one2car.com/en/for-sale/neta-neta-v-northern-region-mueang-chiang-mai/19331019,279000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26961,19331014,Mazda,3,E,2018,"฿329,000",2018 Mazda 3 2.0 (ปี 14-18) E Sedan,https://www.one2car.com/en/for-sale/mazda-3-e-bangkok-metropolitan-pattanakarn-rama-ix/19331014?auc=true,329000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,31,379000.00000000023,0.051425211807435645,0.8680738786279684,-0.954272174368532
26962,19331011,Suzuki,SWIFT,GLX,2018,"฿329,000",2018 Suzuki SWIFT 1.2 (ปี 18-25) GLX Hatchback,https://www.one2car.com/en/for-sale/suzuki-swift-glx-northern-region-mueang-chiang-mai/19331011,329000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,15,308999.99999999977,0.06544830133679014,1.0647249190938526,0.4230226162371495
26963,19331008,Suzuki,Ciaz,GL,2017,"฿199,000",2017 Suzuki Ciaz 1.2 (ปี 15-25) GL Sedan,https://www.one2car.com/en/for-sale/suzuki-ciaz-gl-bangkok-metropolitan-pattanakarn-rama-ix/19331008?auc=true,199000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,39,189000.0,0.07696104113612812,1.0529100529100526,0.3477574261894111
26964,19331007,Audi,Q5,TFSI Quattro,2009,"฿349,000",2009 Audi Q5 2.0 (ปี 08-16) TFSI Quattro AWD SUV,https://www.one2car.com/en/for-sale/audi-q5-tfsi-quattro-northern-region-mueang-chiang-mai/19331007,349000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26965,19330993,Toyota,SIENTA,V,2019,"฿457,000",2019 Toyota SIENTA 1.5 (ปี 16-23) V Wagon,https://www.one2car.com/en/for-sale/toyota-sienta-v-bangkok-metropolitan-srinagarindra-thepharak/19330993?auc=true,457000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,39,438999.99999999994,0.04662849315303319,1.0410022779043282,0.27104093038938165
26966,19330984,Toyota,INNOVA,Crysta Premium,2022,"฿587,000",2022 Toyota INNOVA 2.8 (ปี 16-22) Crysta Premium Wagon,https://www.one2car.com/en/for-sale/toyota-innova-crysta-premium-bangkok-metropolitan-srinagarindra-thepharak/19330984?auc=true,587000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,19,688999.9999999999,0.05060603537840613,0.8519593613933238,-1.0806599632466152
26967,19330980,Mercedes-Benz,GLC220,d 4MATIC AMG Dynamic,2021,"฿2,285,000",2022 Mercedes-Benz GLC220 2.0 W253 (ปี 15-22) d 4MATIC AMG Dynamic AWD Coupe,https://www.one2car.com/en/for-sale/mercedes-benz-glc220-d-4matic-amg-dynamic-bangkok-metropolitan-pinklao-borommaratchachonnani-road/19330980,2285000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,16,1509463.4808434432,0.2654540341216096,1.5137828963726958,1.0534992414697133
26968,19330978,Toyota,HILUX REVO,J Plus Smart Cab,2019,"฿369,000",2019 Toyota HILUX REVO 2.4 Smart Cab J Plus Pickup,https://www.one2car.com/en/for-sale/toyota-hilux-revo-j-plus-smart-cab-bangkok-metropolitan-pinklao-borommaratchachonnani-road/19330978?auc=true,369000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,172,436492.8407202114,0.14123576850536068,0.8453746902037417,-0.8022001861046061
26969,19330977,Toyota,Corolla Cross,Hybrid Premium,2023,"฿627,000",2023 Toyota Corolla Cross 1.8 (ปี 20-26) Hybrid Premium SUV,https://www.one2car.com/en/for-sale/toyota-corolla-cross-hybrid-premium-bangkok-metropolitan-srinagarindra-thepharak/19330977?auc=true,627000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,46,758999.9999999994,0.08600052618646181,0.826086956521739,-1.288667571964475
26970,19330970,Mercedes-Benz,CLA250,AMG Dynamic,2018,"฿945,000",2020 Mercedes-Benz CLA250 2.0 W117 (ปี 13-18) AMG Dynamic Coupe,https://www.one2car.com/en/for-sale/mercedes-benz-cla250-amg-dynamic-bangkok-metropolitan-pinklao-borommaratchachonnani-road/19330970,945000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26971,19330968,Mercedes-Benz,E200,Edition E,2016,"฿599,000",2016 Mercedes-Benz E200 2.0 W212 (ปี 10-16) Edition E Sedan,https://www.one2car.com/en/for-sale/mercedes-benz-e200-edition-e-bangkok-metropolitan-bang-kruai/19330968?auc=true,599000.0,INSUFFICIENT_GROUP_DATA,NO_RELIABLE_COMPARISON_GROUP,,,,,,
26972,19330969,Toyota,Corolla Altis,Sport,2021,"฿477,000",2021 Toyota Corolla Altis 1.8 (ปี 19-25) Sport Sedan,https://www.one2car.com/en/for-sale/toyota-corolla-altis-sport-bangkok-metropolitan-srinagarindra-thepharak/19330969?auc=true,477000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,157,459000.00000000035,0.06331227941432616,1.039215686274508,0.25945506418347364
26973,19330959,Toyota,Corolla Altis,GR Sport,2020,"฿447,000",2021 Toyota Corolla Altis 1.8 (ปี 19-25) GR Sport Sedan,https://www.one2car.com/en/for-sale/toyota-corolla-altis-gr-sport-bangkok-metropolitan-srinagarindra-thepharak/19330959?auc=true,447000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,237,448999.9999999996,0.066770557420055,0.9955456570155912,-0.030111657152976683
26974,19330951,Toyota,CAMRY,G,2018,"฿457,000",2018 Toyota CAMRY 2.0 (ปี 12-18) G Sedan,https://www.one2car.com/en/for-sale/toyota-camry-g-bangkok-metropolitan-srinagarindra-thepharak/19330951?auc=true,457000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_SUB_MODEL_YEAR,41,587000.0,0.1746259224057134,0.778534923339012,-0.966954341541593
26975,19330945,Mazda,2,XD Sport High Plus L,2016,"฿277,000",2016 Mazda 2 1.5 (ปี 15-25) XD Sport High Plus L Hatchback,https://www.one2car.com/en/for-sale/mazda-2-xd-sport-high-plus-l-bangkok-metropolitan-srinagarindra-thepharak/19330945?auc=true,277000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,52,248999.99999999988,0.07725848313713257,1.1124497991967883,0.718778292579153
26976,19330935,Honda,HR-V,e:HEV EL,2023,"฿627,000",2023 Honda HR-V 1.5 (ปี 22-28) e:HEV EL SUV,https://www.one2car.com/en/for-sale/honda-hr-v-e-hev-el-bangkok-metropolitan-srinagarindra-thepharak/19330935?auc=true,627000.0,NORMAL,WITHIN_PEER_GROUP_THRESHOLD,BRAND_MODEL_YEAR,63,744000.0000000002,0.06812918926829958,0.8427419354838699,-1.154032363380163
