ANY_OTHER,N_CARS,MAE_THB,RMSE_THB,MEAN_SIGNED_ERROR_THB,MEDIAN_ABS_ERROR_THB,NEGATIVE_PREDICTION_COUNT,ACTUAL_AVG_THB,PREDICTED_AVG_THB
True,25019,373747.337718,1151494.083861,-6424.457114,153198.614175,936,870577.698269,877002.155383
False,9829,144587.330268,323963.896104,16352.984680,99738.353529,596,506202.048225,489849.063544
