PRICE_BAND,N_CARS,MAE_THB,RMSE_THB,MEAN_SIGNED_ERROR_THB,MEDIAN_ABS_ERROR_THB,NEGATIVE_PREDICTION_COUNT,ACTUAL_AVG_THB,PREDICTED_AVG_THB
1M-3M,4251,359509.002859,556057.458790,74849.341995,241184.093153,20,1604692.326041,1529842.984046
500k-1M,10881,184142.439983,288593.519073,-77171.216005,120378.541732,20,708344.557486,785515.773490
<500k,18882,245695.974879,787172.880703,-101146.729435,120380.329374,1491,330628.548459,431775.277894
>=3M,834,3118435.795308,4931731.474196,2915309.337666,1687593.332694,1,7175624.586331,4260315.248665
