MODEL_ID,MODEL_NAME,TARGET_NAME,TRAIN_PCS_DATE,TRAIN_DATE,N_OBSERVATION,R_SQUARED,ADJ_R_SQUARED,MAE,RMSE,F_STATISTIC,F_P_VALUE,P_VALUE_THRESHOLD,CONFIDENCE_LEVEL,ACTIVE_FLAG,APPROVED_BY,APPROVED_DATE,PCS_DATE
20260920_011528,USED_CAR_OLS_RANK_1,price,2026-09-18,2026-09-20 01:15:28,34848,0.5012910469980012,0.49832536920814496,314887.1161316181,1020440.9213532328,169.03085315356952,0.0,0.05,0.95,,,,2026-09-18
20260920_011529,USED_CAR_OLS_RANK_2,price,2026-09-18,2026-09-20 01:15:28,34848,0.5006557292205314,0.49788919913859053,315626.4594236926,1020943.0590146271,180.96883619255985,0.0,0.05,0.95,,,,2026-09-18
20260920_011530,USED_CAR_OLS_RANK_3,price,2026-09-18,2026-09-20 01:15:28,34848,0.40874213659943126,0.4069722601410466,399108.81791725324,1085165.0743479212,230.94388010137052,0.0,0.05,0.95,,,,2026-09-18
