MODEL_ID,MODEL_NAME,TARGET_NAME,TRAIN_PCS_DATE,TRAIN_DATE,N_OBSERVATION,R_SQUARED,ADJ_R_SQUARED,MAE,RMSE,F_STATISTIC,F_P_VALUE,P_VALUE_THRESHOLD,CONFIDENCE_LEVEL,ACTIVE_FLAG,APPROVED_BY,APPROVED_DATE,PCS_DATE
20260919_230223,USED_CAR_OLS_RANK_1,price,2026-09-18,2026-09-19 23:02:23,34848,0.40874213659943126,0.4069722601410466,399108.81791725324,1085165.0743479212,230.94388010137052,0.0,0.05,0.95,,,,2026-09-18
20260919_230224,USED_CAR_OLS_RANK_2,price,2026-09-18,2026-09-19 23:02:23,34848,0.4070959780218121,0.4055607085227748,402218.40129004745,1086550.9145315196,265.1625517715967,0.0,0.05,0.95,,,,2026-09-18
20260919_230225,USED_CAR_OLS_RANK_3,price,2026-09-18,2026-09-19 23:02:23,34848,0.4070746677359053,0.4053169164918574,398837.7601688025,1086659.6904837287,231.5883257738158,0.0,0.05,0.95,,,,2026-09-18
